160.220, 129.507, 8.333, 24.800 False
159.387, 129.512, 8.333, 24.900 False
158.554, 129.516, 8.333, 25.000 False
157.720, 129.520, 8.333, 25.100 False
156.887, 129.524, 8.333, 25.200 False
156.054, 129.528, 8.333, 25.300 False
155.220, 129.531, 8.333, 25.400 False
154.387, 129.535, 8.333, 25.500 False
153.554, 129.538, 8.333, 25.600 False
152.720, 129.541, 8.333, 25.700 False
151.887, 129.543, 8.333, 25.800 False
151.054, 129.546, 8.333, 25.900 False
150.220, 129.548, 8.333, 26.000 False
149.387, 129.550, 8.333, 26.100 False
148.554, 129.552, 8.333, 26.200 False
147.720, 129.554, 8.333, 26.300 False
146.887, 129.556, 8.333, 26.400 False
146.054, 129.558, 8.333, 26.500 False
145.220, 129.559, 8.333, 26.600 False
144.387, 129.560, 8.333, 26.700 False
143.554, 129.561, 8.333, 26.800 False
142.721, 129.562, 8.333, 26.900 False
141.887, 129.563, 8.333, 27.000 False
141.054, 129.563, 8.333, 27.100 False
140.221, 129.564, 8.333, 27.200 False
139.387, 129.564, 8.333, 27.300 False
138.557, 129.564, 8.261, 27.400 False
137.747, 129.564, 7.983, 27.500 False
136.977, 129.564, 7.530, 27.600 False
136.258, 129.564, 6.998, 27.700 False
135.592, 129.563, 6.477, 27.800 False
134.967, 129.562, 6.118, 27.900 False
134.368, 129.562, 5.893, 28.000 False
133.787, 129.561, 5.736, 28.100 False
133.217, 129.560, 5.652, 28.200 False
132.652, 129.559, 5.615, 28.300 False
132.091, 129.558, 5.594, 28.400 False
131.532, 129.557, 5.551, 28.500 False
130.987, 129.556, 5.361, 28.600 False
130.470, 129.555, 5.045, 28.700 False
129.992, 129.553, 4.609, 28.800 False
129.560, 129.552, 4.146, 28.900 False
129.173, 129.550, 3.704, 29.000 False
128.827, 129.549, 3.308, 29.100 False
128.517, 129.547, 2.954, 29.200 False
128.240, 129.545, 2.638, 29.300 False
127.992, 129.544, 2.357, 29.400 False
127.771, 129.542, 2.106, 29.500 False
127.573, 129.541, 1.882, 29.600 False
127.396, 129.540, 1.683, 29.700 False
127.237, 129.539, 1.504, 29.800 False
127.096, 129.538, 1.345, 29.900 False
126.969, 129.537, 1.202, 30.000 False
126.856, 129.536, 1.075, 30.100 False
126.754, 129.536, 0.961, 30.200 False
126.664, 129.535, 0.860, 30.300 False
126.583, 129.535, 0.769, 30.400 False
126.510, 129.534, 0.687, 30.500 False
126.446, 129.534, 0.615, 30.600 False
126.388, 129.534, 0.550, 30.700 False
126.341, 129.533, 0.417, 30.800 False
126.305, 129.533, 0.329, 30.900 False
126.275, 129.533, 0.321, 31.000 False
126.228, 129.533, 0.525, 31.100 False
126.163, 129.532, 0.751, 31.200 False
126.065, 129.531, 1.060, 31.300 False
125.938, 129.531, 1.446, 31.400 False
125.758, 129.529, 1.986, 31.500 False
125.528, 129.528, 2.489, 31.600 False
125.249, 129.526, 2.984, 31.700 False
124.921, 129.524, 3.477, 31.800 False
124.544, 129.522, 3.964, 31.900 False
124.121, 129.520, 4.413, 32.000 False
123.658, 129.517, 4.787, 32.100 False
123.163, 129.514, 5.068, 32.200 False
122.645, 129.512, 5.267, 32.300 False
122.114, 129.509, 5.364, 32.400 False
121.579, 129.506, 5.362, 32.500 False
121.048, 129.504, 5.316, 32.600 False
120.519, 129.501, 5.302, 32.700 False
119.989, 129.499, 5.320, 32.800 False
119.457, 129.496, 5.320, 32.900 False
118.927, 129.494, 5.293, 33.000 False
118.401, 129.492, 5.236, 33.100 False
117.882, 129.490, 5.166, 33.200 False
117.371, 129.488, 5.087, 33.300 False
116.867, 129.487, 5.006, 33.400 False
116.368, 129.485, 4.995, 33.500 False
115.871, 129.484, 4.931, 33.600 False
115.385, 129.483, 4.809, 33.700 False
114.912, 129.482, 4.698, 33.800 False
114.447, 129.481, 4.611, 33.900 False
113.991, 129.480, 4.526, 34.000 False
113.544, 129.480, 4.429, 34.100 False
113.109, 129.479, 4.277, 34.200 False
112.693, 129.479, 4.109, 34.300 False
112.291, 129.479, 3.944, 34.400 False
111.907, 129.479, 3.782, 34.500 False
111.538, 129.479, 3.626, 34.600 False
111.185, 129.483, 3.470, 34.700 False
110.847, 129.484, 3.292, 34.800 False
110.531, 129.485, 3.093, 34.900 False
110.232, 129.485, 2.914, 35.000 False
109.951, 129.486, 2.751, 35.100 False
109.684, 129.486, 2.588, 35.200 False
109.436, 129.481, 2.420, 35.300 False
109.203, 129.480, 2.254, 35.400 False
108.987, 129.484, 2.096, 35.500 False
108.784, 129.485, 1.972, 35.600 False
108.600, 129.485, 1.767, 35.700 False
108.430, 129.485, 1.634, 35.800 False
108.275, 129.486, 1.484, 35.900 False
108.136, 129.490, 1.336, 36.000 False
108.010, 129.487, 1.197, 36.100 False
107.898, 129.487, 1.073, 36.200 False
107.797, 129.487, 0.961, 36.300 False
107.706, 129.487, 0.859, 36.400 False
107.626, 129.487, 0.769, 36.500 False
107.553, 129.487, 0.687, 36.600 False
107.488, 129.487, 0.615, 36.700 False
